recording_id,alias_count,driver_labels,driver_ambiguous,row_count,duration_s,declared_duration_s,sampled_elapsed_span_s,median_interval_s,max_gap_s,dynamic_numeric_count,max_abs_rpm,motion_variation_score,motion_status,motion_status_source,control_candidate,clock_provenance,vertical_accel_offset_flag,split
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,1,"[""Tristan""]",False,2292,229.1,,229.1,0.09999999999999432,0.10000000000002274,31,3326.0,90.61499999999987,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,train
953f71ef131b4c5ce7211560abcbafbfe0079e72cf2190c2908d3ff00cf5db12,1,"[""Yianni""]",False,897,89.6,,89.6,0.10000000000000142,0.10000000000000853,10,0.0,0.0,stationary_candidate,motor_rpm_threshold,True,recorded_time_column,False,validation
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,2,"[""Tristan"", ""Yianni""]",True,897,89.6,,89.6,0.10000000000000142,0.10000000000000853,27,3136.5,73.5799999999999,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,validation
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,2,"[""Tristan"", ""Yianni""]",True,858,85.7,,85.7,0.10000000000000142,0.10000000000000853,26,1995.6,35.864999999999974,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,2,"[""Tristan"", ""Yianni""]",True,738,73.7,,73.7,0.10000000000000142,0.10000000000000853,29,3267.1,68.75499999999997,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,train
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,1,"[""Ryan""]",False,658,65.7,,65.7,0.10000000000000142,0.10000000000000853,27,2357.0,72.475,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,validation
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,1,"[""Tristan""]",False,579,57.8,,57.8,0.10000000000000142,0.10000000000000142,22,2438.9,79.72000000000001,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,test
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,1,"[""Yianni""]",False,579,57.8,,57.8,0.10000000000000142,0.10000000000000142,11,0.0,0.0,stationary_candidate,motor_rpm_threshold,True,recorded_time_column,False,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,1,"[""Emiliano""]",False,579,57.8,,57.8,0.10000000000000142,0.10000000000000142,20,2440.2,48.34,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,2,"[""Tristan"", ""Yianni""]",True,579,57.8,,57.8,0.10000000000000142,0.10000000000000142,18,1.2,0.0,stationary_candidate,motor_rpm_threshold,True,recorded_time_column,False,train
f8a2dfe19bc591bed40778fcb493d9a34a3261518b2f4b416ba15a9402ec6dd7,1,"[""Ryan""]",False,419,41.8,,41.8,0.10000000000000009,0.10000000000000142,24,2138.6,51.91,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,test
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,1,"[""Emiliano""]",False,419,41.8,,41.8,0.10000000000000009,0.10000000000000142,19,2325.2,72.27999999999997,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,train
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,1,"[""Ryan""]",False,380,37.9,,37.9,0.10000000000000009,0.10000000000000142,17,704.5,19.700000000000003,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,train
67460352e955edbaf8a0e73406f2aa4726aa14abea0a93abbe0484dccf14d5c3,1,"[""Emiliano""]",False,380,37.9,,37.9,0.10000000000000009,0.10000000000000142,21,2579.0,98.025,moving_candidate,motor_rpm_threshold,False,recorded_time_column,False,train
c5c639ca1fa3038e565a432a960cb53f6ce533ad9612d27f229f6527fcf0edac,1,[],False,339,33.8,,33.8,0.09999999999999998,0.10000000000000142,7,0.0,0.0,stationary_candidate,motor_rpm_threshold,True,recorded_time_column,False,test
